,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG,RIVER
28,1070,GANGA AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,19,29,25,7.3,8.6,7.9,7.7,8.5,8.2,230,278,251,2.8,3.5,3.2,,,,5000,8000,6783,8000,94000,16467,GANGA
29,1071,GANGA AT VARANASI D/S (MALVIYA BRIDGE),UTTAR PRADESH,20,30,25,6.8,8.1,7.4,8,8.8,8.5,248,312,277,3.6,5.4,5,0,0.28,0.04,27000,33000,31667,34000,49000,45000,GANGA
30,1073,GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,19,30,25,6.8,9.8,7.6,8.1,8.9,8.5,240,509,288,3.4,3.9,3.7,0,10,0.83,11000,23000,14167,14000,38000,19250,GANGA
31,2502,"SHUKRA TAL, MUZAFFARNAGAR, NEAR GANGA RIVER",UTTAR PRADESH,18,18,18,7.6,7.6,7.6,7.2,7.2,7.2,276,276,276,1.1,1.1,1.1,,,,90,90,90,150,150,150,GANGA
32,3036,SHUKRA TAL (GANGA),UTTAR PRADESH,,,,,,,7.9,8,8,350,399,375,,,,,,,14000,14000,14000,33000,33000,33000,GANGA
33,1074,"GANGA AT BUXAR,BIHAR",BIHAR,16,32,24,7.6,9.2,8.2,7.1,8.5,8,310,398,353,2.6,2.8,2.7,,,,1100,5000,2350,2800,16000,5700,GANGA
34,2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,15,32,24,7.4,9,8.1,7.1,8.4,7.9,310,468,362,2.4,7.8,3.2,,,,3000,9000,6167,9000,24000,19500,GANGA
35,1077,"GANGA AT KHURJI, PATNA U/S",BIHAR,16,30,24,7.9,14.1,11.7,7.8,8.4,8,274,416,335,2.2,2.8,2.6,,,,1100,9000,2209,2400,16000,4164,GANGA
36,2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,14,35,24,7.5,8.4,8,7.6,8,7.8,226,735,310,2,2.8,2.5,,,,500,2200,960,1300,5000,2180,GANGA
37,2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,15,28,23,7.8,8.6,8.3,7.6,8.6,8,247,506,344,2.4,2.8,2.7,,,,170,3000,1406,2400,9000,4017,GANGA
38,2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,17,31,24,7.8,8.7,8.2,7.7,8.6,8.1,272,432,352,2.6,2.9,2.8,,,,3000,16000,7250,9000,24000,20750,GANGA
39,1079,GANGA AT PATNA D/S (GANGA BDG),BIHAR,17,31,24,7.8,8.6,8.2,7.8,8.4,8.1,276,426,358,2.6,3,2.8,,,,3000,9000,5167,9000,24000,15000,GANGA
40,2555,"GANGA AT PUNPUN, PATNA",BIHAR,16,30,24,7,8.1,7.7,7.6,8.2,7.9,306,738,411,2.4,2.8,2.6,,,,800,2400,1308,2200,16000,4000,GANGA
41,2553,GANGA AT FATUHA,BIHAR,16,31,24,7.8,8.8,8.3,7.8,8.4,8.1,271,436,344,2.4,2.8,2.6,,,,800,3000,1600,2200,9000,3750,GANGA
42,1817,GANGA AT MOKAMA (U/S),BIHAR,16,32,24,6.8,8.6,8,7.8,8.2,8,280,384,325,2.2,2.7,2.5,,,,800,5000,1840,900,16000,4430,GANGA
43,1815,GANGA AT MOKAMA (D/S),BIHAR,16,32,24,6.6,8.5,7.9,7.7,8.1,7.9,290,386,330,2.4,3,2.8,,,,1700,9000,5973,5000,24000,18636,GANGA
