RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
GODAVARI,2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,14,26,20.0,4.2,6.9,5.550000000000001,7.8,8.5,8.15,150,1156,653.0,2.8,11,6.9,0.1,5,2.55,12,110,61.0,50,350,200.0
GODAVARI,2160,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA,21,41,31.0,4.8,7.2,6.0,7.4,8.7,8.05,338,812,575.0,4,7,5.5,0,0.5,0.25,2,2,2.0,70,140,105.0
GODAVARI,2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMPS HOUSE AT JAYAKWADI.,MAHARASHTRA,21,41,31.0,5.8,7.4,6.6,7.7,8.5,8.1,337,924,630.5,3,7,5.0,0,0.6,0.3,2,4,3.0,70,140,105.0
GODAVARI,2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.,MAHARASHTRA,21,41,31.0,5.7,7.6,6.65,7.1,8.7,7.8999999999999995,336,1010,673.0,3,9,6.0,0,3.1,1.55,2,4,3.0,70,140,105.0
GODAVARI,2161,"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA,25,35,30.0,5.3,7.3,6.3,7.1,8.7,7.8999999999999995,366,1180,773.0,4,12,8.0,0,2.1,1.05,2,6.1,4.05,79,240,159.5
GODAVARI,12,"GODAVARI AT DHALEGAON, MAHARASHTRA",MAHARASHTRA,19,30,24.5,6.1,7.2,6.65,7.2,8.2,7.699999999999999,484,1517,1000.5,4,16,10.0,0.1,1.8,0.9500000000000001,2,6,4.0,100,220,160.0
GODAVARI,1210,"GODAVARI AT NAED, MAHARASHTRA",MAHARASHTRA,26,38,32.0,6.5,7.3,6.9,7.4,8.1,7.75,380,710,545.0,3,8,5.5,0,4.4,2.2,2,4,3.0,70,170,120.0
GODAVARI,1209,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA,26,38,32.0,6.1,7.5,6.8,7.5,8.2,7.85,297,910,603.5,4,8,6.0,0,0.6,0.3,2,4,3.0,70,220,145.0
GODAVARI,2157,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA,23,29,26.0,5.5,7.2,6.35,7.6,8.3,7.95,342,940,641.0,3,8,5.5,0,1.2,0.6,2,6,4.0,70,240,155.0
GODAVARI,2183,GODAVARI RIVER AT NAUR- MADMESHWAR DAM.,MAHARASHTRA,14,26,20.0,4,7.3,5.65,7.6,8.5,8.05,141,616,378.5,2,18,10.0,0.3,4.3,2.3,13,110,61.5,60,350,205.0
