"7/19/23, 11:18 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_1.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+ NITRITE-
N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
https://cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_9.htm,1/1,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:21 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_29.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER CAUVERY - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+
NITRITE-N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
,WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1198,"CAUVERY AT NAPOKULU BDG (D/S),
KARNATAKA",KARNATAKA,22,28,24.2,6.2,8.2,6.9,6.2,8.3,7.1,35,104,60,1,1,1,0,0.07,0.05,20,260,117,110,840,486
1195,"CAUVERY AT KUSHAL NAGAR U/S (NEAR
BAICHANAHALLI), KARNATAKA",KARNATAKA,22,30,25.5,6.4,8.8,7.2,6.3,8.1,7.4,50,119,93,1,1,1,0.07,0.2,0.12,78,380,205,310,1700,888
33,"CAUVERY AT KRS
DAM,BALAMURIKSHETRA,KARNATAKA",KARNATAKA,24,29,26.3,5.5,8,6.7,7.1,8.9,8.1,80,359,236,1,2,1.5,0.15,0.49,0.28,110,580,299,470,2200,1193
1386,"CAUVERY AT D/S OF KAREKUARA VILLAGE,
KARNATAKA",KARNATAKA,24,28,26.4,6.4,7.8,7,7.3,8.8,8.2,82,362,247,1,2,1.3,0.16,0.5,0.32,140,630,305,580,2200,1249
1171,"CAUVERY AT SRI RANGAPATTANNA,D/S OF
ROAD BDG.,KARNATAKA",KARNATAKA,25,28,26.3,5.7,7,6.3,7.3,8.6,8,96,377,287,1,4,2.5,0.2,0.53,0.4,200,4900,1976,780,24000,8007
34,"CAUVERY AT SATHYAGALAM BRIDGE,
KARNATAKA",KARNATAKA,26,28,26.8,5.2,8.7,7,7,8.8,7.8,95,448,318,1,3,1.9,0.17,0.53,0.4,92,630,345,390,2800,1561
2773,"CAUVERY AT BANNUR BRIDGE, KARNATAKA",KARNATAKA,25,30,27.1,4.4,8.7,6.7,7.1,8.8,7.8,90,530,313,1,3,1.8,0.33,0.6,0.46,92,700,345,390,2400,1408
