RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
GODAVARI,2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY",MAHARASHTRA,20.0,32.0,26.0,4.7,7.5,6.1,7.2,8.1,7.65,262.0,709.0,485.5,2.0,16.0,9.0,0.0,1.8,0.9,2.0,8.2,5.1,40.0,280.0,160.0
GODAVARI,2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,20.0,34.0,27.0,5.8,7.6,6.699999999999999,7.1,8.2,7.649999999999999,139.0,587.0,363.0,2.4,5.0,3.7,0.0,3.9,1.95,2.0,4.0,3.0,60.0,220.0,140.0
GODAVARI,2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN",MAHARASHTRA,20.0,34.0,27.0,4.2,6.8,5.5,7.3,8.2,7.75,251.0,749.0,500.0,3.0,8.0,5.5,0.0,2.0,1.0,2.0,10.0,6.0,80.0,350.0,215.0
GODAVARI,2180,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA,20.0,34.0,27.0,5.2,7.0,6.1,7.3,8.4,7.85,259.0,739.0,499.0,3.0,7.0,5.0,0.0,1.5,0.75,2.0,9.2,5.6,40.0,280.0,160.0
GODAVARI,1096,"GODAVARI AT PANCHAVATI AT RAMKUND, MAHARASHTRA",MAHARASHTRA,20.0,33.0,26.5,5.2,7.1,6.15,7.1,8.2,7.649999999999999,149.0,1045.0,597.0,2.0,10.0,6.0,0.0,1.6,0.8,2.0,12.0,7.0,70.0,350.0,210.0
GODAVARI,1211,"GODAVARI AT NASIK D/S, MAHARASHTRA",MAHARASHTRA,20.0,33.0,26.5,4.0,7.0,5.5,7.4,8.0,7.7,278.0,806.0,542.0,2.6,12.0,7.3,0.0,1.1,0.55,2.0,17.0,9.5,40.0,500.0,270.0
GODAVARI,1095,"GODAVARI AT U/S OF GANGAPUR DAM, NASIK, MAHARASHTRA",MAHARASHTRA,20.0,34.0,27.0,5.4,7.1,6.25,7.1,7.9,7.5,147.0,841.0,494.0,2.0,8.0,5.0,0.0,2.7,1.35,2.0,9.3,5.65,40.0,170.0,105.0
GODAVARI,2160,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON
BRIDGE",MAHARASHTRA,20.0,23.0,21.5,6.8,7.4,7.1,7.6,8.7,8.149999999999999,299.0,1084.0,691.5,2.0,5.0,3.5,0.1,0.3,0.2,2.0,6.0,4.0,110.0,240.0,175.0
GODAVARI,2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI,MAHARASHTRA,20.0,24.0,22.0,6.6,7.6,7.1,7.7,8.8,8.25,301.0,1709.0,1005.0,3.0,5.0,4.0,0.0,0.8,0.4,2.0,4.0,3.0,110.0,170.0,140.0
GODAVARI,2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE,MAHARASHTRA,20.0,23.0,21.5,6.7,7.4,7.050000000000001,7.7,9.0,8.35,294.0,2404.0,1349.0,2.0,6.0,4.0,0.0,0.4,0.2,2.0,6.0,4.0,110.0,240.0,175.0
GODAVARI,2161,"GODAVARI  AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",MAHARASHTRA,23.0,33.0,28.0,5.8,7.2,6.5,7.5,8.4,7.95,141.0,1196.0,668.5,3.0,8.0,5.5,0.0,0.8,0.4,2.0,6.0,4.0,130.0,240.0,185.0
GODAVARI,12,GODAVARI AT DHALEGAON,MAHARASHTRA,16.0,25.0,20.5,6.9,7.2,7.050000000000001,7.4,8.3,7.85,263.0,1532.0,897.5,2.0,4.0,3.0,0.0,0.4,0.2,2.0,4.0,3.0,110.0,220.0,165.0
GODAVARI,1210,GODAVARI AT NANDED,MAHARASHTRA,20.0,28.0,24.0,6.2,7.6,6.9,7.3,8.6,7.949999999999999,289.0,1186.0,737.5,2.0,7.0,4.5,0.0,1.5,0.75,2.0,6.0,4.0,110.0,240.0,175.0
